question,answer
True or False? DHCP stands for Dynamic Host Configuration Port.,False
"The acronym ""RIP"" stands for which of these?",Routing Information Protocol
What was the name of the first Bulgarian personal computer?,IMKO-1
Which of the following is NOT a computer science algorithm?,Float Sort
CMOS is tech used for constructing integrated circuits. What does CMOS stand for?,Complementary metal–oxide–semiconductor
True or False? The IBM PC used an Intel 8008 microprocessor clocked at 4.77 MHz and 8 kilobytes of memory.,False
America Online (AOL) started out as which of these online service providers?,Quantum Link
"Australia, Japan, and Southeast Asia are in which ITU Region?",Region 3
The Harvard architecture for micro-controllers added which additional bus?,Instruction
What is the name given to layer 4 of the Open Systems Interconnection (ISO) model?,Transport
True or False? The T-Mobile Sidekick smartphone is a re-branded version of the Danger Hiptop.,True
